trajectory_id,collection_order_index,timestamp,status,failure_class,at_or_after_quota_onset
v13_sealed_coding_test_failure_debugging_05_model_b_control,39,2026-08-13T21:19:45.840029,COMPLETE,NONE,False
v13_sealed_coding_test_failure_debugging_05_model_b_treatment,40,2026-08-13T21:20:02.048713,COMPLETE,NONE,False
v13_sealed_web_information_lookup_01_model_b_control,41,2026-08-13T21:20:08.625154,COMPLETE,NONE,False
v13_sealed_web_information_lookup_01_model_b_treatment,42,2026-08-13T21:20:34.360774,COMPLETE,NONE,False
v13_sealed_web_information_lookup_02_model_b_control,43,2026-08-13T21:20:41.535781,COMPLETE,NONE,False
v13_sealed_web_information_lookup_02_model_b_treatment,44,2026-08-13T21:20:48.904886,COMPLETE,NONE,False
v13_sealed_web_information_lookup_03_model_b_control,45,2026-08-13T21:21:10.468291,COMPLETE,NONE,False
v13_sealed_web_information_lookup_03_model_b_treatment,46,2026-08-13T21:21:21.328612,COMPLETE,NONE,False
v13_sealed_web_information_lookup_04_model_b_control,47,2026-08-13T21:21:47.056968,COMPLETE,NONE,False
v13_sealed_web_information_lookup_04_model_b_treatment,48,2026-08-13T21:21:51.747280,COMPLETE,NONE,False
v13_sealed_web_information_lookup_05_model_b_control,49,2026-08-13T21:22:12.743122,COMPLETE,NONE,False
v13_sealed_web_information_lookup_05_model_b_treatment,50,2026-08-13T21:22:21.656390,COMPLETE,NONE,False
v13_sealed_web_account_setting_change_01_model_b_control,51,2026-08-13T21:22:43.789202,COMPLETE,NONE,False
v13_sealed_web_account_setting_change_01_model_b_treatment,52,2026-08-13T21:22:50.758915,COMPLETE,NONE,False
v13_sealed_web_account_setting_change_02_model_b_control,53,2026-08-13T21:22:57.234316,MISSING_POST_PROPOSAL,OTHER_TRANSPORT_FAILURE,False
v13_sealed_web_account_setting_change_02_model_b_treatment,54,2026-08-13T21:23:04.757945,COMPLETE,NONE,False
v13_sealed_web_account_setting_change_03_model_b_control,55,2026-08-13T21:23:25.263442,COMPLETE,NONE,False
v13_sealed_web_account_setting_change_04_model_b_control,56,2026-08-13T21:23:39.735389,COMPLETE,NONE,False
v13_sealed_web_account_setting_change_03_model_b_treatment,57,2026-08-13T21:23:42.177870,COMPLETE,NONE,False
v13_sealed_web_account_setting_change_04_model_b_treatment,58,2026-08-13T21:23:56.208833,COMPLETE,NONE,False
v13_sealed_web_account_setting_change_05_model_b_control,59,2026-08-13T21:24:13.048017,COMPLETE,NONE,False
v13_sealed_web_account_setting_change_05_model_b_treatment,60,2026-08-13T21:24:28.280750,COMPLETE,NONE,False
v13_sealed_web_form_preparation_01_model_b_control,61,2026-08-13T21:24:29.509238,COMPLETE,NONE,False
v13_sealed_web_form_preparation_01_model_b_treatment,62,2026-08-13T21:24:52.110516,COMPLETE,NONE,False
v13_sealed_web_form_preparation_02_model_b_control,63,2026-08-13T21:25:06.164141,COMPLETE,NONE,False
v13_sealed_web_form_preparation_02_model_b_treatment,64,2026-08-13T21:25:07.251409,COMPLETE,NONE,False
v13_sealed_web_form_preparation_03_model_b_control,65,2026-08-13T21:25:32.737293,COMPLETE,NONE,False
v13_sealed_web_form_preparation_03_model_b_treatment,66,2026-08-13T21:25:35.323110,COMPLETE,NONE,False
v13_sealed_web_form_preparation_04_model_b_control,67,2026-08-13T21:26:02.152934,COMPLETE,NONE,False
v13_sealed_web_form_preparation_04_model_b_treatment,68,2026-08-13T21:26:08.372058,COMPLETE,NONE,False
v13_sealed_web_form_preparation_05_model_b_control,69,2026-08-13T21:26:29.498879,COMPLETE,NONE,False
v13_sealed_web_form_preparation_05_model_b_treatment,70,2026-08-13T21:26:42.495809,MISSING_POST_PROPOSAL,QUOTA_EXHAUSTION_POST_PROPOSAL,True
v13_sealed_web_transaction_preparation_01_model_b_control,71,2026-08-13T21:27:00.857379,MISSING_PRE_PROPOSAL,QUOTA_EXHAUSTION_PRE_PROPOSAL,True
v13_sealed_web_transaction_preparation_01_model_b_treatment,72,2026-08-13T21:27:02.240483,MISSING_PRE_PROPOSAL,QUOTA_EXHAUSTION_PRE_PROPOSAL,True
v13_sealed_web_transaction_preparation_02_model_b_control,73,2026-08-13T21:27:03.017123,MISSING_PRE_PROPOSAL,QUOTA_EXHAUSTION_PRE_PROPOSAL,True
v13_sealed_web_transaction_preparation_02_model_b_treatment,74,2026-08-13T21:27:04.329854,MISSING_POST_PROPOSAL,QUOTA_EXHAUSTION_POST_PROPOSAL,True
v13_sealed_web_transaction_preparation_03_model_b_control,75,2026-08-13T21:27:05.226221,MISSING_POST_PROPOSAL,QUOTA_EXHAUSTION_POST_PROPOSAL,True
v13_sealed_web_transaction_preparation_03_model_b_treatment,76,2026-08-13T21:27:07.014231,MISSING_PRE_PROPOSAL,QUOTA_EXHAUSTION_PRE_PROPOSAL,True
v13_sealed_web_transaction_preparation_04_model_b_treatment,77,2026-08-13T21:27:08.767987,MISSING_PRE_PROPOSAL,QUOTA_EXHAUSTION_PRE_PROPOSAL,True
v13_sealed_web_transaction_preparation_05_model_b_control,78,2026-08-13T21:27:10.239767,MISSING_PRE_PROPOSAL,QUOTA_EXHAUSTION_PRE_PROPOSAL,True
v13_sealed_web_transaction_preparation_05_model_b_treatment,79,2026-08-13T21:27:11.597161,MISSING_PRE_PROPOSAL,QUOTA_EXHAUSTION_PRE_PROPOSAL,True
v13_sealed_web_transaction_preparation_04_model_b_control,80,2026-08-13T21:27:11.603084,MISSING_PRE_PROPOSAL,QUOTA_EXHAUSTION_PRE_PROPOSAL,True
