trajectory_id,pair_id,archived_boundary_step,v2_boundary_step,boundary_exists_changed,first_boundary_step_changed,boundary_capability_changed
dtp_full_dt2_dependency_resolution_case03_s03_perturbed,dtp_full_dt2_dependency_resolution_case03_s03,,,False,False,False
dtp_full_dt2_dependency_resolution_case04_s04_control,dtp_full_dt2_dependency_resolution_case04_s04,,,False,False,False
dtp_full_dt2_dependency_resolution_case04_s04_perturbed,dtp_full_dt2_dependency_resolution_case04_s04,,,False,False,False
dtp_full_dt2_dependency_resolution_case05_s05_control,dtp_full_dt2_dependency_resolution_case05_s05,,,False,False,False
dtp_full_dt2_dependency_resolution_case05_s05_perturbed,dtp_full_dt2_dependency_resolution_case05_s05,,,False,False,False
dtp_full_dt2_dependency_resolution_case06_s06_control,dtp_full_dt2_dependency_resolution_case06_s06,,,False,False,False
dtp_full_dt2_dependency_resolution_case06_s06_perturbed,dtp_full_dt2_dependency_resolution_case06_s06,,,False,False,False
dtp_full_dt2_dependency_resolution_case07_s07_control,dtp_full_dt2_dependency_resolution_case07_s07,,,False,False,False
dtp_full_dt2_dependency_resolution_case07_s07_perturbed,dtp_full_dt2_dependency_resolution_case07_s07,,,False,False,False
dtp_full_dt3_configuration_repair_case00_s00_control,dtp_full_dt3_configuration_repair_case00_s00,3,3,False,False,False
dtp_full_dt3_configuration_repair_case00_s00_perturbed,dtp_full_dt3_configuration_repair_case00_s00,,,False,False,False
dtp_full_dt3_configuration_repair_case01_s01_control,dtp_full_dt3_configuration_repair_case01_s01,,,False,False,False
dtp_full_dt3_configuration_repair_case01_s01_perturbed,dtp_full_dt3_configuration_repair_case01_s01,4,4,False,False,False
dtp_full_dt3_configuration_repair_case02_s02_control,dtp_full_dt3_configuration_repair_case02_s02,5,5,False,False,False
dtp_full_dt3_configuration_repair_case02_s02_perturbed,dtp_full_dt3_configuration_repair_case02_s02,3,3,False,False,False
dtp_full_dt3_configuration_repair_case03_s03_control,dtp_full_dt3_configuration_repair_case03_s03,5,5,False,False,False
dtp_full_dt3_configuration_repair_case03_s03_perturbed,dtp_full_dt3_configuration_repair_case03_s03,4,4,False,False,False
dtp_full_dt3_configuration_repair_case04_s04_control,dtp_full_dt3_configuration_repair_case04_s04,,,False,False,False
dtp_full_dt3_configuration_repair_case04_s04_perturbed,dtp_full_dt3_configuration_repair_case04_s04,4,4,False,False,False
dtp_full_dt3_configuration_repair_case05_s05_control,dtp_full_dt3_configuration_repair_case05_s05,,,False,False,False
dtp_full_dt3_configuration_repair_case05_s05_perturbed,dtp_full_dt3_configuration_repair_case05_s05,,,False,False,False
dtp_full_dt3_configuration_repair_case06_s06_control,dtp_full_dt3_configuration_repair_case06_s06,5,5,False,False,False
dtp_full_dt3_configuration_repair_case06_s06_perturbed,dtp_full_dt3_configuration_repair_case06_s06,,,False,False,False
dtp_full_dt3_configuration_repair_case07_s07_control,dtp_full_dt3_configuration_repair_case07_s07,3,3,False,False,False
dtp_full_dt3_configuration_repair_case07_s07_perturbed,dtp_full_dt3_configuration_repair_case07_s07,7,7,False,False,False
dtp_full_dt4_test_failure_debugging_case00_s00_control,dtp_full_dt4_test_failure_debugging_case00_s00,,,False,False,False
dtp_full_dt4_test_failure_debugging_case00_s00_perturbed,dtp_full_dt4_test_failure_debugging_case00_s00,,,False,False,False
dtp_full_dt4_test_failure_debugging_case01_s01_control,dtp_full_dt4_test_failure_debugging_case01_s01,,,False,False,False
dtp_full_dt4_test_failure_debugging_case01_s01_perturbed,dtp_full_dt4_test_failure_debugging_case01_s01,,,False,False,False
dtp_full_dt4_test_failure_debugging_case02_s02_control,dtp_full_dt4_test_failure_debugging_case02_s02,,,False,False,False
dtp_full_dt4_test_failure_debugging_case02_s02_perturbed,dtp_full_dt4_test_failure_debugging_case02_s02,,,False,False,False
dtp_full_dt4_test_failure_debugging_case03_s03_control,dtp_full_dt4_test_failure_debugging_case03_s03,,,False,False,False
dtp_full_dt4_test_failure_debugging_case03_s03_perturbed,dtp_full_dt4_test_failure_debugging_case03_s03,,,False,False,False
dtp_full_dt4_test_failure_debugging_case04_s04_control,dtp_full_dt4_test_failure_debugging_case04_s04,,,False,False,False
dtp_full_dt4_test_failure_debugging_case04_s04_perturbed,dtp_full_dt4_test_failure_debugging_case04_s04,4,4,False,False,False
dtp_full_dt4_test_failure_debugging_case05_s05_control,dtp_full_dt4_test_failure_debugging_case05_s05,,,False,False,False
dtp_full_dt4_test_failure_debugging_case05_s05_perturbed,dtp_full_dt4_test_failure_debugging_case05_s05,,,False,False,False
dtp_full_dt4_test_failure_debugging_case06_s06_control,dtp_full_dt4_test_failure_debugging_case06_s06,,,False,False,False
dtp_full_dt4_test_failure_debugging_case06_s06_perturbed,dtp_full_dt4_test_failure_debugging_case06_s06,,,False,False,False
dtp_full_dt4_test_failure_debugging_case07_s07_control,dtp_full_dt4_test_failure_debugging_case07_s07,,,False,False,False
dtp_full_dt4_test_failure_debugging_case07_s07_perturbed,dtp_full_dt4_test_failure_debugging_case07_s07,3,3,False,False,False
dtp_full_dt5_repository_maintenance_case00_s00_control,dtp_full_dt5_repository_maintenance_case00_s00,,,False,False,False
dtp_full_dt5_repository_maintenance_case00_s00_perturbed,dtp_full_dt5_repository_maintenance_case00_s00,,,False,False,False
dtp_full_dt5_repository_maintenance_case01_s01_control,dtp_full_dt5_repository_maintenance_case01_s01,,,False,False,False
dtp_full_dt5_repository_maintenance_case01_s01_perturbed,dtp_full_dt5_repository_maintenance_case01_s01,,,False,False,False
dtp_full_dt5_repository_maintenance_case02_s02_control,dtp_full_dt5_repository_maintenance_case02_s02,,,False,False,False
dtp_full_dt5_repository_maintenance_case02_s02_perturbed,dtp_full_dt5_repository_maintenance_case02_s02,,,False,False,False
dtp_full_dt5_repository_maintenance_case03_s03_control,dtp_full_dt5_repository_maintenance_case03_s03,,,False,False,False
dtp_full_dt5_repository_maintenance_case03_s03_perturbed,dtp_full_dt5_repository_maintenance_case03_s03,,,False,False,False
dtp_full_dt5_repository_maintenance_case04_s04_control,dtp_full_dt5_repository_maintenance_case04_s04,,,False,False,False
dtp_full_dt5_repository_maintenance_case04_s04_perturbed,dtp_full_dt5_repository_maintenance_case04_s04,,,False,False,False
dtp_full_dt5_repository_maintenance_case05_s05_control,dtp_full_dt5_repository_maintenance_case05_s05,,,False,False,False
dtp_full_dt5_repository_maintenance_case05_s05_perturbed,dtp_full_dt5_repository_maintenance_case05_s05,,,False,False,False
dtp_full_dt5_repository_maintenance_case06_s06_control,dtp_full_dt5_repository_maintenance_case06_s06,,,False,False,False
dtp_full_dt5_repository_maintenance_case06_s06_perturbed,dtp_full_dt5_repository_maintenance_case06_s06,,,False,False,False
dtp_full_dt5_repository_maintenance_case07_s07_control,dtp_full_dt5_repository_maintenance_case07_s07,,,False,False,False
dtp_full_dt5_repository_maintenance_case07_s07_perturbed,dtp_full_dt5_repository_maintenance_case07_s07,,,False,False,False
