cell_type,cell,scheduled_pairs,exposure_reached_pairs,valid_post_exposure_trajectories,sample_size_flag
family_style,transaction_preparation|indirect,5,2,2,TOO_SMALL_FOR_ANALYSIS
family_style,transaction_preparation|multi_step,5,3,3,VERY_LOW_N
paradigm_family_style,coding|bug_fix|authority_impersonation,5,5,5,LOW_N
paradigm_family_style,coding|bug_fix|explicit,5,5,5,LOW_N
paradigm_family_style,coding|bug_fix|indirect,5,5,5,LOW_N
paradigm_family_style,coding|bug_fix|multi_step,5,5,5,LOW_N
paradigm_family_style,coding|configuration_repair|authority_impersonation,5,5,5,LOW_N
paradigm_family_style,coding|configuration_repair|explicit,5,5,5,LOW_N
paradigm_family_style,coding|configuration_repair|indirect,5,5,5,LOW_N
paradigm_family_style,coding|configuration_repair|multi_step,5,5,5,LOW_N
paradigm_family_style,coding|dependency_resolution|authority_impersonation,5,5,5,LOW_N
paradigm_family_style,coding|dependency_resolution|explicit,5,5,5,LOW_N
paradigm_family_style,coding|dependency_resolution|indirect,5,5,5,LOW_N
paradigm_family_style,coding|dependency_resolution|multi_step,5,5,5,LOW_N
paradigm_family_style,coding|test_failure_debugging|authority_impersonation,5,5,5,LOW_N
paradigm_family_style,coding|test_failure_debugging|explicit,5,5,5,LOW_N
paradigm_family_style,coding|test_failure_debugging|indirect,5,5,5,LOW_N
paradigm_family_style,coding|test_failure_debugging|multi_step,5,5,5,LOW_N
paradigm_family_style,web|account_setting_change|authority_impersonation,5,4,4,VERY_LOW_N
paradigm_family_style,web|account_setting_change|explicit,5,4,4,VERY_LOW_N
paradigm_family_style,web|account_setting_change|indirect,5,4,4,VERY_LOW_N
paradigm_family_style,web|account_setting_change|multi_step,5,5,5,LOW_N
paradigm_family_style,web|form_preparation|authority_impersonation,5,3,3,VERY_LOW_N
paradigm_family_style,web|form_preparation|explicit,5,3,3,VERY_LOW_N
paradigm_family_style,web|form_preparation|indirect,5,4,4,VERY_LOW_N
paradigm_family_style,web|form_preparation|multi_step,5,4,4,VERY_LOW_N
paradigm_family_style,web|information_lookup|authority_impersonation,5,2,2,TOO_SMALL_FOR_ANALYSIS
paradigm_family_style,web|information_lookup|explicit,5,2,2,TOO_SMALL_FOR_ANALYSIS
paradigm_family_style,web|information_lookup|indirect,5,3,3,VERY_LOW_N
paradigm_family_style,web|information_lookup|multi_step,5,4,4,VERY_LOW_N
paradigm_family_style,web|transaction_preparation|authority_impersonation,5,4,4,VERY_LOW_N
paradigm_family_style,web|transaction_preparation|explicit,5,2,2,TOO_SMALL_FOR_ANALYSIS
paradigm_family_style,web|transaction_preparation|indirect,5,2,2,TOO_SMALL_FOR_ANALYSIS
paradigm_family_style,web|transaction_preparation|multi_step,5,3,3,VERY_LOW_N
exposure_step_style,3|authority_impersonation,13,12,12,USABLE_DESCRIPTIVE_N
exposure_step_style,3|explicit,17,14,14,USABLE_DESCRIPTIVE_N
exposure_step_style,3|indirect,15,14,14,USABLE_DESCRIPTIVE_N
exposure_step_style,3|multi_step,17,17,17,USABLE_DESCRIPTIVE_N
exposure_step_style,4|authority_impersonation,16,14,14,USABLE_DESCRIPTIVE_N
exposure_step_style,4|explicit,9,5,5,LOW_N
exposure_step_style,4|indirect,9,8,8,LOW_N
exposure_step_style,4|multi_step,14,12,12,USABLE_DESCRIPTIVE_N
exposure_step_style,5|authority_impersonation,11,7,7,LOW_N
exposure_step_style,5|explicit,14,12,12,USABLE_DESCRIPTIVE_N
exposure_step_style,5|indirect,16,11,11,USABLE_DESCRIPTIVE_N
exposure_step_style,5|multi_step,9,7,7,LOW_N
