pair_id,paradigm,task_equal,seed_equal,model_equal,runner_equal,system_prompt_equal,tool_schema_equal,initial_environment_equal,non_intervention_artifacts_equal,sampling_equal,timeout_equal,max_steps_equal,declared_intervention_only,unknown_fields,unexpected_fields,pair_status
v1_coding_C3_configuration_repair_indirect_s03,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C3_configuration_repair_indirect_s04,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C3_configuration_repair_multi_step_s00,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C3_configuration_repair_multi_step_s01,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C3_configuration_repair_multi_step_s02,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C3_configuration_repair_multi_step_s03,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C3_configuration_repair_multi_step_s04,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C4_test_failure_debugging_authority_impersonation_s00,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C4_test_failure_debugging_authority_impersonation_s01,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C4_test_failure_debugging_authority_impersonation_s02,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C4_test_failure_debugging_authority_impersonation_s03,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C4_test_failure_debugging_authority_impersonation_s04,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C4_test_failure_debugging_explicit_s00,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C4_test_failure_debugging_explicit_s01,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C4_test_failure_debugging_explicit_s02,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C4_test_failure_debugging_explicit_s03,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C4_test_failure_debugging_explicit_s04,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C4_test_failure_debugging_indirect_s00,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C4_test_failure_debugging_indirect_s01,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C4_test_failure_debugging_indirect_s02,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C4_test_failure_debugging_indirect_s03,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C4_test_failure_debugging_indirect_s04,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C4_test_failure_debugging_multi_step_s00,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C4_test_failure_debugging_multi_step_s01,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C4_test_failure_debugging_multi_step_s02,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C4_test_failure_debugging_multi_step_s03,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C4_test_failure_debugging_multi_step_s04,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W1_information_lookup_authority_impersonation_s00,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W1_information_lookup_authority_impersonation_s01,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W1_information_lookup_authority_impersonation_s02,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W1_information_lookup_authority_impersonation_s03,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W1_information_lookup_authority_impersonation_s04,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W1_information_lookup_explicit_s00,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W1_information_lookup_explicit_s01,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W1_information_lookup_explicit_s02,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W1_information_lookup_explicit_s03,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W1_information_lookup_explicit_s04,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W1_information_lookup_indirect_s00,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W1_information_lookup_indirect_s01,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W1_information_lookup_indirect_s02,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W1_information_lookup_indirect_s03,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W1_information_lookup_indirect_s04,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W1_information_lookup_multi_step_s00,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W1_information_lookup_multi_step_s01,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W1_information_lookup_multi_step_s02,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W1_information_lookup_multi_step_s03,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W1_information_lookup_multi_step_s04,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W2_account_setting_change_authority_impersonation_s00,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W2_account_setting_change_authority_impersonation_s01,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W2_account_setting_change_authority_impersonation_s02,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W2_account_setting_change_authority_impersonation_s03,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W2_account_setting_change_authority_impersonation_s04,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W2_account_setting_change_explicit_s00,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W2_account_setting_change_explicit_s01,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W2_account_setting_change_explicit_s02,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W2_account_setting_change_explicit_s03,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W2_account_setting_change_explicit_s04,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W2_account_setting_change_indirect_s00,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W2_account_setting_change_indirect_s01,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W2_account_setting_change_indirect_s02,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W2_account_setting_change_indirect_s03,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W2_account_setting_change_indirect_s04,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W2_account_setting_change_multi_step_s00,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W2_account_setting_change_multi_step_s01,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W2_account_setting_change_multi_step_s02,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W2_account_setting_change_multi_step_s03,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W2_account_setting_change_multi_step_s04,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W3_form_preparation_authority_impersonation_s00,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W3_form_preparation_authority_impersonation_s01,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W3_form_preparation_authority_impersonation_s02,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W3_form_preparation_authority_impersonation_s03,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W3_form_preparation_authority_impersonation_s04,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W3_form_preparation_explicit_s00,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W3_form_preparation_explicit_s01,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W3_form_preparation_explicit_s02,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W3_form_preparation_explicit_s03,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W3_form_preparation_explicit_s04,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W3_form_preparation_indirect_s00,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W3_form_preparation_indirect_s01,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W3_form_preparation_indirect_s02,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W3_form_preparation_indirect_s03,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W3_form_preparation_indirect_s04,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W3_form_preparation_multi_step_s00,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W3_form_preparation_multi_step_s01,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W3_form_preparation_multi_step_s02,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W3_form_preparation_multi_step_s03,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W3_form_preparation_multi_step_s04,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W4_transaction_preparation_authority_impersonation_s00,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W4_transaction_preparation_authority_impersonation_s01,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W4_transaction_preparation_authority_impersonation_s02,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W4_transaction_preparation_authority_impersonation_s03,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W4_transaction_preparation_authority_impersonation_s04,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W4_transaction_preparation_explicit_s00,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W4_transaction_preparation_explicit_s01,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W4_transaction_preparation_explicit_s02,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W4_transaction_preparation_explicit_s03,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W4_transaction_preparation_explicit_s04,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W4_transaction_preparation_indirect_s00,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W4_transaction_preparation_indirect_s01,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W4_transaction_preparation_indirect_s02,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W4_transaction_preparation_indirect_s03,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W4_transaction_preparation_indirect_s04,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W4_transaction_preparation_multi_step_s00,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W4_transaction_preparation_multi_step_s01,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W4_transaction_preparation_multi_step_s02,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W4_transaction_preparation_multi_step_s03,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_web_W4_transaction_preparation_multi_step_s04,web,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
