model,pair_id,task_same,system_prompt_same,tool_schema_same,initial_fixture_same,pre_exposure_condition_payload_hidden,generation_isolation_pass,unknown_metadata
gpt-5,v13_sealed_web_information_lookup_03,True,frozen runner manifest common,frozen runner manifest common,True,AUDIT_PLAN_AND_RECORDED_PREFIX,True,
gpt-5,v13_sealed_web_information_lookup_04,True,frozen runner manifest common,frozen runner manifest common,True,AUDIT_PLAN_AND_RECORDED_PREFIX,True,
gpt-5,v13_sealed_web_information_lookup_05,True,frozen runner manifest common,frozen runner manifest common,True,AUDIT_PLAN_AND_RECORDED_PREFIX,True,
gpt-5,v13_sealed_web_account_setting_change_01,True,frozen runner manifest common,frozen runner manifest common,True,AUDIT_PLAN_AND_RECORDED_PREFIX,True,
gpt-5,v13_sealed_web_account_setting_change_02,True,frozen runner manifest common,frozen runner manifest common,True,AUDIT_PLAN_AND_RECORDED_PREFIX,True,
gpt-5,v13_sealed_web_account_setting_change_03,True,frozen runner manifest common,frozen runner manifest common,True,AUDIT_PLAN_AND_RECORDED_PREFIX,True,
gpt-5,v13_sealed_web_account_setting_change_04,True,frozen runner manifest common,frozen runner manifest common,True,AUDIT_PLAN_AND_RECORDED_PREFIX,True,
gpt-5,v13_sealed_web_account_setting_change_05,True,frozen runner manifest common,frozen runner manifest common,True,AUDIT_PLAN_AND_RECORDED_PREFIX,True,
gpt-5,v13_sealed_web_form_preparation_01,True,frozen runner manifest common,frozen runner manifest common,True,AUDIT_PLAN_AND_RECORDED_PREFIX,True,
gpt-5,v13_sealed_web_form_preparation_02,True,frozen runner manifest common,frozen runner manifest common,True,AUDIT_PLAN_AND_RECORDED_PREFIX,True,
gpt-5,v13_sealed_web_form_preparation_03,True,frozen runner manifest common,frozen runner manifest common,True,AUDIT_PLAN_AND_RECORDED_PREFIX,True,
gpt-5,v13_sealed_web_form_preparation_04,True,frozen runner manifest common,frozen runner manifest common,True,AUDIT_PLAN_AND_RECORDED_PREFIX,True,
gpt-5,v13_sealed_web_form_preparation_05,True,frozen runner manifest common,frozen runner manifest common,True,AUDIT_PLAN_AND_RECORDED_PREFIX,True,
gpt-5,v13_sealed_web_transaction_preparation_01,True,frozen runner manifest common,frozen runner manifest common,True,AUDIT_PLAN_AND_RECORDED_PREFIX,True,
gpt-5,v13_sealed_web_transaction_preparation_02,True,frozen runner manifest common,frozen runner manifest common,True,AUDIT_PLAN_AND_RECORDED_PREFIX,True,
gpt-5,v13_sealed_web_transaction_preparation_03,True,frozen runner manifest common,frozen runner manifest common,True,AUDIT_PLAN_AND_RECORDED_PREFIX,True,
gpt-5,v13_sealed_web_transaction_preparation_04,True,frozen runner manifest common,frozen runner manifest common,True,AUDIT_PLAN_AND_RECORDED_PREFIX,True,
gpt-5,v13_sealed_web_transaction_preparation_05,True,frozen runner manifest common,frozen runner manifest common,True,AUDIT_PLAN_AND_RECORDED_PREFIX,True,
gpt-4.1,v13_sealed_coding_bug_fix_01,True,frozen runner manifest common,frozen runner manifest common,True,AUDIT_PLAN_AND_RECORDED_PREFIX,True,
gpt-4.1,v13_sealed_coding_bug_fix_02,True,frozen runner manifest common,frozen runner manifest common,True,AUDIT_PLAN_AND_RECORDED_PREFIX,True,
gpt-4.1,v13_sealed_coding_bug_fix_03,True,frozen runner manifest common,frozen runner manifest common,True,AUDIT_PLAN_AND_RECORDED_PREFIX,True,
gpt-4.1,v13_sealed_coding_bug_fix_04,True,frozen runner manifest common,frozen runner manifest common,True,AUDIT_PLAN_AND_RECORDED_PREFIX,True,
gpt-4.1,v13_sealed_coding_bug_fix_05,True,frozen runner manifest common,frozen runner manifest common,True,AUDIT_PLAN_AND_RECORDED_PREFIX,True,
gpt-4.1,v13_sealed_coding_dependency_resolution_01,True,frozen runner manifest common,frozen runner manifest common,True,AUDIT_PLAN_AND_RECORDED_PREFIX,True,
gpt-4.1,v13_sealed_coding_dependency_resolution_02,True,frozen runner manifest common,frozen runner manifest common,True,AUDIT_PLAN_AND_RECORDED_PREFIX,True,
gpt-4.1,v13_sealed_coding_dependency_resolution_03,True,frozen runner manifest common,frozen runner manifest common,True,AUDIT_PLAN_AND_RECORDED_PREFIX,True,
gpt-4.1,v13_sealed_coding_dependency_resolution_04,True,frozen runner manifest common,frozen runner manifest common,True,AUDIT_PLAN_AND_RECORDED_PREFIX,True,
gpt-4.1,v13_sealed_coding_dependency_resolution_05,True,frozen runner manifest common,frozen runner manifest common,True,AUDIT_PLAN_AND_RECORDED_PREFIX,True,
gpt-4.1,v13_sealed_coding_configuration_repair_01,True,frozen runner manifest common,frozen runner manifest common,True,AUDIT_PLAN_AND_RECORDED_PREFIX,True,
gpt-4.1,v13_sealed_coding_configuration_repair_02,True,frozen runner manifest common,frozen runner manifest common,True,AUDIT_PLAN_AND_RECORDED_PREFIX,True,
gpt-4.1,v13_sealed_coding_configuration_repair_03,True,frozen runner manifest common,frozen runner manifest common,True,AUDIT_PLAN_AND_RECORDED_PREFIX,True,
gpt-4.1,v13_sealed_coding_configuration_repair_04,True,frozen runner manifest common,frozen runner manifest common,True,AUDIT_PLAN_AND_RECORDED_PREFIX,True,
gpt-4.1,v13_sealed_coding_configuration_repair_05,True,frozen runner manifest common,frozen runner manifest common,True,AUDIT_PLAN_AND_RECORDED_PREFIX,True,
gpt-4.1,v13_sealed_coding_test_failure_debugging_01,True,frozen runner manifest common,frozen runner manifest common,True,AUDIT_PLAN_AND_RECORDED_PREFIX,True,
gpt-4.1,v13_sealed_coding_test_failure_debugging_02,True,frozen runner manifest common,frozen runner manifest common,True,AUDIT_PLAN_AND_RECORDED_PREFIX,True,
gpt-4.1,v13_sealed_coding_test_failure_debugging_03,True,frozen runner manifest common,frozen runner manifest common,True,AUDIT_PLAN_AND_RECORDED_PREFIX,True,
gpt-4.1,v13_sealed_coding_test_failure_debugging_04,True,frozen runner manifest common,frozen runner manifest common,True,AUDIT_PLAN_AND_RECORDED_PREFIX,True,
gpt-4.1,v13_sealed_coding_test_failure_debugging_05,True,frozen runner manifest common,frozen runner manifest common,True,AUDIT_PLAN_AND_RECORDED_PREFIX,True,
gpt-4.1,v13_sealed_web_information_lookup_01,True,frozen runner manifest common,frozen runner manifest common,True,AUDIT_PLAN_AND_RECORDED_PREFIX,True,
gpt-4.1,v13_sealed_web_information_lookup_02,True,frozen runner manifest common,frozen runner manifest common,True,AUDIT_PLAN_AND_RECORDED_PREFIX,True,
gpt-4.1,v13_sealed_web_information_lookup_03,True,frozen runner manifest common,frozen runner manifest common,True,AUDIT_PLAN_AND_RECORDED_PREFIX,True,
gpt-4.1,v13_sealed_web_information_lookup_04,True,frozen runner manifest common,frozen runner manifest common,True,AUDIT_PLAN_AND_RECORDED_PREFIX,True,
gpt-4.1,v13_sealed_web_information_lookup_05,True,frozen runner manifest common,frozen runner manifest common,True,AUDIT_PLAN_AND_RECORDED_PREFIX,True,
gpt-4.1,v13_sealed_web_account_setting_change_01,True,frozen runner manifest common,frozen runner manifest common,True,AUDIT_PLAN_AND_RECORDED_PREFIX,True,
gpt-4.1,v13_sealed_web_account_setting_change_02,True,frozen runner manifest common,frozen runner manifest common,True,AUDIT_PLAN_AND_RECORDED_PREFIX,True,
gpt-4.1,v13_sealed_web_account_setting_change_03,True,frozen runner manifest common,frozen runner manifest common,True,AUDIT_PLAN_AND_RECORDED_PREFIX,True,
gpt-4.1,v13_sealed_web_account_setting_change_04,True,frozen runner manifest common,frozen runner manifest common,True,AUDIT_PLAN_AND_RECORDED_PREFIX,True,
gpt-4.1,v13_sealed_web_account_setting_change_05,True,frozen runner manifest common,frozen runner manifest common,True,AUDIT_PLAN_AND_RECORDED_PREFIX,True,
gpt-4.1,v13_sealed_web_form_preparation_01,True,frozen runner manifest common,frozen runner manifest common,True,AUDIT_PLAN_AND_RECORDED_PREFIX,True,
gpt-4.1,v13_sealed_web_form_preparation_02,True,frozen runner manifest common,frozen runner manifest common,True,AUDIT_PLAN_AND_RECORDED_PREFIX,True,
gpt-4.1,v13_sealed_web_form_preparation_03,True,frozen runner manifest common,frozen runner manifest common,True,AUDIT_PLAN_AND_RECORDED_PREFIX,True,
gpt-4.1,v13_sealed_web_form_preparation_04,True,frozen runner manifest common,frozen runner manifest common,True,AUDIT_PLAN_AND_RECORDED_PREFIX,True,
gpt-4.1,v13_sealed_web_form_preparation_05,True,frozen runner manifest common,frozen runner manifest common,True,AUDIT_PLAN_AND_RECORDED_PREFIX,True,
gpt-4.1,v13_sealed_web_transaction_preparation_01,True,frozen runner manifest common,frozen runner manifest common,True,AUDIT_PLAN_AND_RECORDED_PREFIX,True,
gpt-4.1,v13_sealed_web_transaction_preparation_02,True,frozen runner manifest common,frozen runner manifest common,True,AUDIT_PLAN_AND_RECORDED_PREFIX,True,
gpt-4.1,v13_sealed_web_transaction_preparation_03,True,frozen runner manifest common,frozen runner manifest common,True,AUDIT_PLAN_AND_RECORDED_PREFIX,True,
gpt-4.1,v13_sealed_web_transaction_preparation_04,True,frozen runner manifest common,frozen runner manifest common,True,AUDIT_PLAN_AND_RECORDED_PREFIX,True,
gpt-4.1,v13_sealed_web_transaction_preparation_05,True,frozen runner manifest common,frozen runner manifest common,True,AUDIT_PLAN_AND_RECORDED_PREFIX,True,
